Plot,Subplot,Sort Date,Species,Dried Wt,Bag Wt ,Biomass Wt,Notes,Tare (L),Tare (S)
1,1,"July 2, 2018",Litter,126.2,10.2,,,4.6,2.77
1,1,"July 2, 2018",Phalaris arundinacea,13.3,7,,,4.49,2.76
1,2,"July 2, 2018",Litter,109.4,10.2,,,4.48,2.72
1,2,"July 2, 2018",Phalaris arundinacea,28.7,7,,,4.47,2.74
1,3,"June 29, 2018",Litter,92.8,10.2,,,,
1,3,"June 29, 2018",Phalaris arundinacea,19.5,10.2,,,,
1,3,"June 29, 2018",Solidago sp.,8.76,4.6,,,,
1,3,"June 29, 2018",Verbena sp.,2.97,2.77,,,,
2,1,"July 2, 2018",Andropogon gerardii,3.32,2.77,,,,
2,1,"July 2, 2018",Andropogon gerardii,9.75,4.6,,,,
2,1,"July 2, 2018",Litter,54.5,10.2,,,,
2,1,"July 2, 2018",Litter,89.7,10.2,,,,
2,1,"July 2, 2018",Monarda fistulosa,3.03,2.77,,,,
2,1,"July 2, 2018",Monarda fistulosa,14.1,7,,,,
2,2,"June 29, 2018",Andropogon gerardii,29.6,7,,,,
2,2,"June 29, 2018",Heliopsis helianthoides,3.35,2.77,,,,
2,2,"June 29, 2018",Litter,87.1,10.2,,,,
2,2,"June 29, 2018",Silphium lacinatum,2.92,2.77,,,,
2,3,"July 2, 2018",Andropogon gerardii,22.5,7,,,,
2,3,"July 2, 2018",Heliopsis helianthoides,4.07,2.77,,,,
2,3,"July 2, 2018",Litter,143.9,10.2,,,,
2,3,"July 2, 2018",Solidago ulmifolia,18.9,7,,,,
3,1,"July 2, 2018",Amphicurpaea bracteata,2.91,2.77,,,,
3,1,"July 2, 2018",Galium sp.,2.8,2.77,,,,
3,1,"July 2, 2018",Litter,171.5,10.2,,,,
3,1,"July 2, 2018",Poa pratensis,2.85,2.77,,,,
3,1,"July 2, 2018",Thalictrum sp.,3.22,2.77,,,,
3,1,"July 2, 2018",Unknown,2.9,2.77,,,,
3,1,"July 2, 2018",Viola sp. ,2.95,2.77,,,,
3,1,"July 2, 2018",Viola sp. (2),2.96,2.77,,,,
3,2,"July 2, 2018",Carex sp.,6.6,4.6,,,,
3,2,"July 2, 2018",Litter,104.6,10.2,,,,
3,2,"July 2, 2018",Thalictrum,3.77,2.77,,,,
3,2,"July 2, 2018",Unknown,2.87,2.77,,woody sp.,,
3,2,"July 2, 2018",Unknown (2),2.8,2.77,,forb sp.,,
3,2,"July 2, 2018",Viola sp,2.8,2.77,,,,
3,3,"June 29, 2018",Carex sp.,3.5,2.77,,,,
3,3,"June 29, 2018",Litter,126.6,10.2,,,,
3,3,"June 29, 2018",Prunus virginiana,12.8,7,,,,
3,3,"June 29, 2018",Thalictrum sp.,5.51,4.6,,,,
4,1,"July 2, 2018",Berteroa incana,3.12,2.77,,,,
4,1,"July 2, 2018",Bromus inermis,24.2,7,,,,
4,1,"July 2, 2018",Cirsium arvense,2.8,2.77,,,,
4,1,"July 2, 2018",Litter,38.1,7,,,,
4,2,"June 29, 2018",Bromus inermis,20,7,,,,
4,2,"June 29, 2018",Elymus repens,6.16,4.6,,,,
4,2,"June 29, 2018",Litter,59.1,10.2,,,,
4,2,"June 29, 2018",Phleum pratens,13,7,,,,
4,2,"June 29, 2018",Silene latifolia,10,7,,,,
4,2,"June 29, 2018",Unknown,2.82,2.77,,Grass,,
4,3,"July 2, 2018",Artemisia absinthium,14.7,7,,,,
4,3,"July 2, 2018",Cirsium arvense,13,7,,,,
4,3,"July 2, 2018",Litter,73,10.2,,,,
4,3,"July 2, 2018",Parthenocissus quinquefolia,3.28,2.77,,,,
4,3,"July 2, 2018",Phalaris arundinacea,27.2,7,,,,
4,3,"July 2, 2018",Poa pratensis,6.28,4.6,,,,
4,3,"July 2, 2018",Silene latifolia,13.5,7,,,,
4,3,"July 2, 2018",Symphoricarpos albus,3.02,2.77,,,,
5,1,"July 12, 2018",Bromus inermis,14.1,7,,,,
5,1,"July 12, 2018",Litter,31.7,7,,,,
5,1,"July 12, 2018",Poa pratensis,15.6,7,,,,
5,1,"July 12, 2018",Poa pratensis,8.83,4.6,,,,
5,2,"July 11, 2018",Bromus inermis,21.3,7,,,,
5,2,"July 11, 2018",Carex sp.,4.63,4.6,,,,
5,2,"July 11, 2018",Elymus sp.,5.51,4.6,,,,
5,2,"July 11, 2018",Liatris sp.,4.67,4.6,,,,
5,2,"July 11, 2018",Litter,48.6,7,,,,
5,2,"July 11, 2018",Poa pratensis,15.6,7,,,,
5,2,"July 11, 2018",Tephrosia virginiana,4.77,4.6,,,,
5,3,"July 11, 2018",Bromus inermis,13.27,4.6,,,,
5,3,"July 11, 2018",Carex sp.,4.76,4.6,,,,
5,3,"July 11, 2018",Litter,31.4,7,,,,
5,3,"July 11, 2018",Poa pratensis,8.55,4.6,,,,
5,3,"July 11, 2018",Trifolium sp.,4.61,4.6,,,,
6,1,"July 9, 2018",Amphicurpaea bracteata,6.23,4.6,,,,
6,1,"July 5, 2018",Carex sp.,20.8,7,,,,
6,1,"July 5, 2018",Litter,150.5,10.2,,,,
6,1,"July 5, 2018",Phalaris arundinacea,8.27,4.6,,,,
6,1,"July 5, 2018",Polygonatum sp.,2.93,2.77,,,,
6,1,"July 5, 2018",Rhamnus cathartica,2.87,2.77,,,,
6,1,"July 5, 2018",Thalictrum sp.,2.87,2.77,,,,
6,1,"July 9, 2018",Unknown,2.81,2.77,,forb,,
6,1,"July 9, 2018",Unknown,2.84,2.77,,woody seedling,,
6,2,"July 5, 2018",Carex sp.,4.3,2.77,,,,
6,2,"July 5, 2018",Litter,195.9,10.2,,,,
6,3,"July 5, 2018",Carex sp.,3.07,2.77,,,,
6,3,"July 5, 2018",Litter,60.2,7,,,,
6,3,"July 5, 2018",Polygonatum pubescens,2.85,2.77,,,,
6,3,"July 5, 2018",Prunus nigra,3.07,2.77,,,,
6,3,"July 5, 2018",Symphoricarpos albus,3.07,2.77,,,,
6,3,"July 5, 2018",Thalictrum sp.,2.88,2.77,,,,
6,3,"July 5, 2018",Viola sp.,2.98,2.77,,,,
6,3,"July 5, 2018",Viola sp. (2),2.9,2.77,,,,
7,1,"July 13, 2018",Anemone sp.,3.12,2.77,,,,
7,1,"July 13, 2018",Carex sp.,10.2,4.6,,,,
7,1,"July 13, 2018",Galium aparune,2.77,2.77,,,,
7,1,"July 13, 2018",Galium asperellum,2.83,2.77,,,,
7,1,"July 13, 2018",Litter,104,10.2,,,,
7,1,"July 13, 2018",Symphoricarpos albus,7.08,4.6,,,,
7,2,"July 16, 2018",Carex sp.,13,7,,,,
7,2,"July 16, 2018",Galium asperellum,4.7,4.6,,,,
7,2,"July 16, 2018",Litter,186.5,10.2,,,,
7,2,"July 16, 2018",Symphoricarpos albus,11.8,7,,,,
7,3,"July 13, 2018",Carex sp.,14.3,7,,,,
7,3,"July 13, 2018",Litter,77.1,7,,,,
7,3,"July 13, 2018",Symphoricarpos occicentalis,19.1,7,,,,
8,1,"July 11, 2018",Litter,163.6,10.2,,,,
8,1,"July 11, 2018",Parthenocissus quinquefolia,10.3,7,,,,
8,2,"July 11, 2018",Acer rubrum,4.96,4.6,,,,
8,2,"July 11, 2018",Carex sp.,5.64,4.6,,,,
8,2,"July 11, 2018",Litter,76.9,10.2,,,,
8,2,"July 11, 2018",Taraxacum officinale,4.49,4.6,,,,
8,2,"July 11, 2018",Unknown,4.5,4.6,,"forb - hairy, chewed",,
8,3,"July 11, 2018",Carex sp.,5.17,4.6,,,,
8,3,"July 11, 2018",Geum sp.,4.67,4.6,,,,
8,3,"July 11, 2018",Liatris sp.,4.62,4.6,,,,
8,3,"July 11, 2018",Litter,63.4,7,,,,
8,3,"July 11, 2018",Rhamnus cathartica,4.48,4.6,,,,
8,3,"July 11, 2018",Viburnum sp.,5.07,4.6,,,,
9,1,"July 12, 2018",Acer rubrum,2.83,2.77,,,,
9,1,"July 12, 2018",Carex sp.,2.98,2.77,,,,
9,1,"July 13, 2018",Cornus racemosa,4.66,2.77,,,,
9,1,"July 12, 2018",Elymus sp.,2.99,2.77,,,,
9,1,"July 12, 2018",Equisetum palastre,3.04,2.77,,,,
9,1,"July 12, 2018",Galium asperellum,2.84,2.77,,,,
9,1,"July 12, 2018",Litter,118.4,10.2,,,,
9,1,"July 12, 2018",Mentha arrensis,3.23,2.77,,,,
9,1,"July 12, 2018",Parthenocissus quinquefolia,4.93,4.6,,,,
9,1,"July 12, 2018",Rhamnus cathartica,2.99,2.77,,,,
9,1,"July 12, 2018",Unknown,3.17,2.77,,forb,,
9,2,"July 13, 2018",Cornus racemosa,3.54,2.77,,,,
9,2,"July 13, 2018",Equisetum palustre,6.03,4.6,,,,
9,2,"July 13, 2018",Litter,48,7,,,,
9,2,"July 13, 2018",Mentha arrens,2.93,2.77,,,,
9,2,"July 13, 2018",Phalaris arundinacea,7.01,4.6,,,,
9,2,"July 13, 2018",Poa pratensis,7.77,4.6,,,,
9,2,"July 13, 2018",Unknown,5.27,4.6,,forb,,
9,3,"July 12, 2018",Bryophyta,10.3,7,,,,
9,3,"July 12, 2018",Cardamine bulbosa,2.83,2.77,,,,
9,3,"July 12, 2018",Equisetum palustre,7.11,4.6,,,,
9,3,"July 12, 2018",Fragaria sp.,3,2.77,,,,
9,3,"July 12, 2018",Litter,55,7,,,,
9,3,"July 12, 2018",Lycopus uniflorus,2.93,2.77,,,,
9,3,"July 12, 2018",Lysimachia ciliata,3.69,2.77,,,,
9,3,"July 12, 2018",Phalaris arundinacea,3.85,2.77,,,,
9,3,"July 12, 2018",Poa pratensis,7.03,4.6,,,,
9,3,"July 12, 2018",Unknown,2.87,2.77,,forb,,
9,3,"July 12, 2018",Unknown (2),3.13,2.77,,forb,,
10,1,"July 13, 2018",Carex sp.,6.81,4.6,,,,
10,1,"July 13, 2018",Litter,73.5,7,,,,
10,1,"July 13, 2018",Parthenocissus quinquefolia,2.89,2.77,,,,
10,1,"July 13, 2018",Symphoricarpos albus,2.97,2.77,,,,
10,1,"July 13, 2018",Unknown,2.77,2.77,,forb,,
10,1,"July 13, 2018",Unknown (2),2.83,2.77,,forb,,
10,1,"July 13, 2018",Viburnum sp.,2.87,2.77,,,,
10,2,"July 12, 2018",Carex sp.,15.8,7,,,,
10,2,"July 12, 2018",Galium asperellum,4.6,4.6,,,,
10,2,"July 12, 2018",Galium boreale,4.91,4.6,,,,
10,2,"July 12, 2018",Litter,96.5,7,,,,
10,2,"July 12, 2018",Symphoricarpos albus,5.83,4.6,,,,
10,3,"July 12, 2018",Carex sp.,10.6,7,,,,
10,3,"July 12, 2018",Galium sp.,4.56,4.6,,,,
10,3,"July 12, 2018",Litter,99.3,10.2,,,,
10,3,"July 12, 2018",Parthenocissus quinquefolia,8.4,7,,,,
10,3,"July 12, 2018",Toxicodendron radicans,5.27,4.6,,,,
10,3,"July 12, 2018",Unknown,4.47,4.6,,forb,,
10,3,"July 12, 2018",Unknown (2),4.56,4.6,,woody seedling,,
11,1,"July 12, 2018",Andropogon gerardii,3.99,2.77,,,,
11,1,"July 12, 2018",Elymus sp.,3.03,2.77,,,,
11,1,"July 12, 2018",Heliopsis helianthoides,6.76,4.6,,,,
11,1,"July 12, 2018",Litter,108.8,10.2,,,,
11,1,"July 12, 2018",Taraxacum officinale,4.97,4.6,,,,
11,2,"July 5, 2018",Andropogon gerardii,28.4,7,,,,
